Relatório do grupo de anúncios
1 de abril de 2026 - 30 de abril de 2026
Status do grupo de anúncios,Grupo de anúncios,Campanha,Status,Motivos do status,Código da moeda,CPC máx. padrão,CPV máx.,CPA desejado,Tipo de grupo de anúncios,Código da moeda,CPV médio do TrueView,Impr.,Interações,Taxa de interação,Custo médio,Custo,Inclusões de marca,Locais de interesse,Cliques,Taxa de conv.,Conversões,CPC méd.,Custo / conv.
Ativado,1 - Toledo/Cascavel - Gruber Contabilidade,1 - Toledo/Cascavel - Gruber Contabilidade,Não qualificado,campanha pausada; desconhecido,BRL, --, --,"4,30",Padrão,BRL,0,0,0, --,0,"0,00",[],[],0,"0,00%","0,00",0,"0,00"
Ativado,Como parecer mais magra,Truque para parecer mais magra,Não qualificado,campanha finalizada; campanha pausada; desconhecido,BRL, --,"0,15", --,Vídeo In-feed,BRL,0,0,0, --,0,"0,00",[],[],0,"0,00%","0,00",0,"0,00"
Pausado,1 - Toledo - Gruber Contabilidade (grupo de anúncios dinâmicos),1 - Toledo/Cascavel - Gruber Contabilidade,Pausado,grupo de anúncios pausado; campanha pausada; desconhecido,BRL, --, --,"4,30",Dinâmico,BRL,0,0,0, --,0,"0,00",[],[],0,"0,00%","0,00",0,"0,00"
Ativado,Tchau Ronco,Tchau Ronco,Não qualificado,campanha finalizada; campanha pausada; desconhecido,BRL, --,"0,15", --,Vídeo In-feed,BRL,0,0,0, --,0,"0,00",[],[],0,"0,00%","0,00",0,"0,00"
Ativado,TL Lei da Atração,Lei da Atração,Não qualificado,campanha finalizada; campanha pausada; desconhecido,BRL, --,"0,15", --,Vídeo In-feed,BRL,0,0,0, --,0,"0,00",[],[],0,"0,00%","0,00",0,"0,00"
Ativado,Toledo,4 - Toledo - German Tech Sistemas,Não qualificado,campanha pausada; desconhecido,BRL, --, --, --,Padrão,BRL,0,0,0, --,0,"0,00",[],[],0,"0,00%","0,00",0,"0,00"
Ativado,Calma - Na maquiagem tudo tem conserto,Calma - na maquiagem tudo tem conserto,Não qualificado,campanha finalizada; campanha pausada; desconhecido,BRL, --,"0,15", --,Vídeo In-feed,BRL,0,0,0, --,0,"0,00",[],[],0,"0,00%","0,00",0,"0,00"
Ativado,TL Vermelho Monarcas e Abba,TL Vermelho Monarcas e Abba,Não qualificado,campanha finalizada; campanha pausada; desconhecido,BRL, --,"0,15", --,Vídeo In-feed,BRL,0,0,0, --,0,"0,00",[],[],0,"0,00%","0,00",0,"0,00"
Ativado,Segredos relacionamento vídeo completo,Segredos para um relacionamento vídeo completo,Não qualificado,campanha finalizada; campanha pausada; desconhecido,BRL, --,"0,15", --,Vídeo In-feed,BRL,0,0,0, --,0,"0,00",[],[],0,"0,00%","0,00",0,"0,00"
Ativado,Vídeo Personalizado – 2022-10-07 - Rosana Policial,Rosana Policial,Não qualificado,campanha finalizada; campanha pausada; desconhecido,BRL, --,"0,15", --,Vídeo In-feed,BRL,0,0,0, --,0,"0,00",[],[],0,"0,00%","0,00",0,"0,00"
Ativado,Grupo de anúncios 1,Gruber [01] Captura de Leads,Não qualificado,campanha pausada; desconhecido,BRL, --, --, --,Padrão,BRL,0,0,0, --,0,"0,00",[],[],0,"0,00%","0,00",0,"0,00"
Ativado,Grupo de anúncios 1,[02] Campanha Envio Formulário de Lead,Não qualificado,campanha pausada; desconhecido,BRL, --, --, --,Padrão,BRL,0,0,0, --,0,"0,00",[],[],0,"0,00%","0,00",0,"0,00"
Ativado,Grupo de anúncios 1,Gruber [01] Outubro - 23,Não qualificado,campanha pausada; desconhecido,BRL, --, --,"5,30",Padrão,BRL,0,0,0, --,0,"0,00",[],[],0,"0,00%","0,00",0,"0,00"
Ativado,Talk Land,Talk Land - Carência Afetiva - Dedo Podre,Não qualificado,campanha finalizada; campanha pausada; desconhecido,BRL, --,"0,15", --,Vídeo In-feed,BRL,0,0,0, --,0,"0,00",[],[],0,"0,00%","0,00",0,"0,00"
Ativado,eneagrama,Eneagrama,Não qualificado,campanha finalizada; campanha pausada; desconhecido,BRL, --,"0,15", --,Vídeo In-feed,BRL,0,0,0, --,0,"0,00",[],[],0,"0,00%","0,00",0,"0,00"
Ativado,TERMOS GLOBAIS FUNDO DE FUNIL - Toledo + 28km,"Campanha 1 — PESQUISA | Toledo (+ raio 28 km) - 33,33/dia - 1.000/mês",Qualificado,desconhecido,BRL, --, --, --,Padrão,BRL,0,1.289,90,"6,98%","11,50","1034,88",[],[],90,"0,00%","0,00","11,50","0,00"
Total: Grupos de anúncios,,,,,,,,,,BRL,0,1.289,90,"6,98%","11,50","1034,88",,,90,"0,00%","0,00","11,50","0,00"
Total: Conta,,,,,,,,,,BRL,0,1.289,90,"6,98%","11,50","1034,88",,,90,"0,00%","0,00","11,50","0,00"
Total: Inteligente,,,,,,,,,,BRL,0,0,0, --,0,"0,00",,,0,"0,00%","0,00",0,"0,00"
Total: Vídeo,,,,,,,,,,BRL,0,0,0, --,0,"0,00",,,0,"0,00%","0,00",0,"0,00"
Total: Pesquisa,,,,,,,,,,BRL,0,1.289,90,"6,98%","11,50","1034,88",,,90,"0,00%","0,00","11,50","0,00"
